Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
322,Utah Valley,30,12,18,0.4,-9.4,-3.4,6,8,7,7,5,9,2280,2360,,1210,851,1902,0.447,183,562,0.326,475,685,0.693,341,1205,440,192,93,385,569
323,Utah,34,26,8,0.765,16.55,9.06,13,5,16,1,5,5,2639,2351,,1380,873,2112,0.413,253,689,0.367,352,488,0.721,360,1123,373,216,123,355,675
324,Valparaiso,32,26,6,0.813,10.24,-1.39,16,2,14,1,12,4,2425,1991,,1290,671,1761,0.381,199,594,0.335,450,693,0.649,293,1030,334,178,110,420,625
325,Vanderbilt,32,19,13,0.594,18.26,8.85,11,7,14,2,3,9,2456,2155,,1290,762,1974,0.386,176,603,0.292,455,675,0.674,388,1192,331,180,99,316,628
326,Vermont,34,21,13,0.618,-1.37,-4.58,11,5,12,3,8,9,2550,2397,,1360,834,1946,0.429,238,652,0.365,491,714,0.688,343,1110,427,233,123,393,653
327,Villanova,34,29,5,0.853,21.65,8.39,16,2,15,1,10,2,2617,2166,,1365,764,1910,0.4,240,716,0.335,398,600,0.663,360,1147,438,199,74,469,648
328,Virginia Commonwealth,34,24,10,0.706,13.74,3.83,14,4,15,2,7,4,2625,2288,,1370,818,1860,0.44,187,556,0.336,465,688,0.676,326,1179,433,195,137,517,604
329,VMI,30,9,21,0.3,-12.57,-2.76,4,14,8,6,1,14,2081,2264,,1205,769,1716,0.448,224,615,0.364,502,693,0.724,339,1163,375,205,92,390,508
330,Virginia Tech,33,19,14,0.576,10.16,7.68,10,8,13,5,4,6,2461,2379,,1340,853,1970,0.433,225,722,0.312,448,656,0.683,382,1181,433,186,172,425,730
331,Virginia,33,26,7,0.788,22.06,11.36,13,5,15,0,5,6,2322,1969,,1325,687,1630,0.421,212,607,0.349,383,550,0.696,263,935,331,174,73,397,555
