Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
80,Duke,33,23,10,0.697,20.06,10.67,11,7,15,3,5,4,2688,2378,,68.3,104.8,0.254,0.29,0.519,50.1,52.5,6.6,9.6,0.494,14.9,35.2,0.174
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Duquesne,32,16,16,0.5,1.69,1.56,6,12,9,6,4,7,2512,2483,,73.3,105.1,0.368,0.382,0.528,49,65.5,8.3,8.8,0.492,13.9,30.4,0.256
82,East Carolina,32,12,20,0.375,-0.16,3.44,4,14,8,8,3,10,2186,2301,,67,105.2,0.267,0.394,0.534,51.5,63.2,9.3,10.5,0.512,15.8,33.3,0.18
83,East Tennessee State,34,23,11,0.676,-0.94,-2.35,14,4,13,2,8,8,2644,2500,,70.2,103.6,0.395,0.372,0.536,50.2,45.9,8.7,8.7,0.494,16.3,31.1,0.285
84,Eastern Illinois,30,13,17,0.433,-8.19,-3.37,9,7,9,5,4,9,2145,2213,,68.3,106.2,0.387,0.368,0.543,53.7,54.7,8.8,7.2,0.506,16.9,33.2,0.272
85,Eastern Kentucky,31,15,16,0.484,-3.32,-3.66,6,10,10,6,5,10,2497,2453,,73.4,107.9,0.416,0.368,0.565,52.3,61.4,9.1,7.4,0.531,17.9,36.4,0.291
86,Eastern Michigan,33,18,15,0.545,0.12,1.49,9,9,14,3,4,11,2553,2460,,72.4,102.1,0.398,0.404,0.529,51.4,58.6,8.3,7.9,0.491,18.7,36.5,0.275
87,Eastern Washington,32,17,15,0.531,-4.46,-6.39,10,8,10,2,5,11,2620,2460,,70.5,109.1,0.384,0.267,0.566,50.4,51.3,8.2,9.9,0.536,15.1,27.8,0.267
