Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
15,Arkansas-Pine Bluff,33,8,25,0.242,-19,-5.21,6,12,3,6,4,17,1867,2322,,1325,674,1722,0.391,202,666,0.303,317,519,0.611,322,1004,317,235,123,515,723
16,Arkansas State,31,11,20,0.355,-7.3,-2.2,7,13,9,6,2,14,2282,2353,,1260,770,1873,0.411,180,570,0.316,562,766,0.734,334,1243,381,157,136,398,613
17,Arkansas,32,16,16,0.5,10.66,7.19,9,9,13,4,3,8,2501,2390,,1305,883,1992,0.443,216,544,0.397,519,748,0.694,374,1187,518,233,165,356,687
18,Army,32,19,13,0.594,-6.73,-8.02,9,9,7,8,11,5,2474,2395,,1310,870,2020,0.431,284,844,0.336,450,647,0.696,396,1301,488,160,117,433,612
19,Auburn,31,11,20,0.355,0.55,7.94,5,13,8,7,2,11,2192,2421,,1245,724,1820,0.398,272,799,0.34,472,746,0.633,346,1134,352,166,126,427,658
20,Austin Peay,35,18,17,0.514,-5.91,-3.55,7,9,7,7,7,9,2661,2660,,1420,920,1988,0.463,219,630,0.348,602,899,0.67,407,1289,473,242,101,489,610
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,Ball State,32,19,13,0.594,0.26,-2.93,10,8,12,6,5,7,2251,2116,,1295,777,1738,0.447,275,735,0.374,422,612,0.69,291,1147,471,177,120,413,606
22,Baylor,33,22,11,0.667,17.05,10.36,10,8,15,5,6,5,2546,2287,,1335,903,1935,0.467,204,556,0.367,536,737,0.727,453,1235,587,260,133,425,636
23,Belmont,31,20,11,0.645,1.25,-2.45,12,4,11,1,8,9,2554,2417,,1245,888,1794,0.495,324,894,0.362,454,629,0.722,266,1077,532,140,77,438,615
24,Bethune-Cookman,32,14,18,0.438,-14.04,-8.88,10,6,9,2,5,13,2258,2330,,1295,799,1932,0.414,249,787,0.316,411,597,0.688,407,1186,371,197,191,412,601
25,Binghamton,30,8,22,0.267,-13.91,-6.17,5,11,5,9,3,13,1827,2059,,1205,629,1614,0.39,171,599,0.285,398,584,0.682,273,1023,333,161,68,418,558
26,Boise State,32,20,12,0.625,7.25,3.15,11,7,14,2,5,7,2480,2246,,1290,842,1859,0.453,261,788,0.331,535,755,0.709,315,1110,430,209,64,371,622
27,Boston College,32,7,25,0.219,-1.47,7.81,0,18,6,11,0,10,1959,2256,,1285,717,1752,0.409,230,712,0.323,295,453,0.651,243,997,410,181,93,427,579
28,Boston University,32,18,14,0.563,-6.67,-6.48,11,7,9,6,9,8,2342,2315,,1295,813,1787,0.455,252,694,0.363,464,649,0.715,293,1153,432,183,122,435,609
29,Bowling Green State,34,16,18,0.471,-5.71,-1.68,5,13,7,8,7,8,2400,2457,,1360,849,1913,0.444,203,563,0.361,499,761,0.656,346,1238,398,209,113,430,655
30,Bradley,32,5,27,0.156,-10.92,3.69,3,15,4,11,1,12,1793,2238,,1290,606,1596,0.38,165,590,0.28,416,628,0.662,277,1083,292,142,87,540,744
31,Brigham Young,33,23,10,0.697,12.08,1.61,13,5,14,2,6,6,2758,2382,,1325,979,2118,0.462,294,774,0.38,506,735,0.688,398,1356,545,219,140,383,624
32,Brown,28,8,20,0.286,-8.07,-2.85,3,11,7,6,1,13,2040,2155,,1140,697,1625,0.429,225,639,0.352,421,600,0.702,272,1019,414,150,114,373,543
33,Bryant,31,8,23,0.258,-18.29,-6.43,5,13,4,10,4,13,2018,2361,,1250,755,1798,0.42,198,615,0.322,310,482,0.643,300,1048,415,176,83,418,591
34,Bucknell,30,17,13,0.567,-1.73,-6,14,4,8,7,9,6,2368,2198,,1225,803,1725,0.466,223,608,0.367,539,754,0.715,311,1101,475,197,98,414,641
35,Buffalo,34,20,14,0.588,1.28,0.61,10,8,10,5,5,9,2637,2555,,1370,892,2037,0.438,253,750,0.337,600,845,0.71,418,1332,433,236,123,465,722
36,Butler,31,21,10,0.677,16.22,6.8,10,8,13,3,5,5,2498,2206,,1245,868,1864,0.466,220,569,0.387,542,741,0.731,354,1132,445,210,104,320,615
37,Cal Poly,30,10,20,0.333,-3.18,1.21,4,12,5,7,3,12,2171,2255,,1220,755,1812,0.417,238,681,0.349,423,626,0.676,352,1095,425,163,96,309,602
