Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
89,Evansville,34,25,9,0.735,8.05,-0.44,12,6,13,3,8,4,2526,2221,,68.9,107,0.47,0.25,0.575,52.2,67.7,7.5,11.1,0.534,16.4,24.8,0.34
90,Fairfield,32,19,13,0.594,-2.94,-2.69,12,8,11,4,7,7,2460,2468,,72.2,104.5,0.327,0.415,0.553,46.2,58.3,8.8,10.2,0.519,16,25.2,0.241
91,Fairleigh Dickinson,32,18,14,0.563,-10,-8.32,11,7,9,6,9,8,2493,2504,,72.2,106.7,0.329,0.324,0.55,46.6,50.3,10.3,7.4,0.521,15.6,29.2,0.23
92,Florida A&amp;M,29,8,21,0.276,-21.44,-10.37,4,12,6,6,1,14,1863,2128,,70.8,88.4,0.43,0.346,0.482,46.9,49.5,9.1,5.9,0.453,19.6,26.3,0.253
93,Florida Atlantic,33,8,25,0.242,-10.18,-1.6,5,13,5,7,2,14,2189,2445,,68.5,96.5,0.338,0.367,0.511,45.6,51.2,7.7,9.7,0.469,15.9,23.7,0.247
94,Florida Gulf Coast,33,20,13,0.606,-1.7,-4.42,8,6,16,4,4,8,2540,2325,,69.4,108,0.362,0.248,0.544,53.3,47,9.3,10.4,0.521,15.1,32.9,0.234
95,Florida International,32,13,19,0.406,-5.16,-4.73,7,11,7,9,5,8,2277,2242,,66.8,104.9,0.363,0.28,0.546,51.8,46.9,7.5,12.6,0.52,16.7,30.6,0.241
96,Florida State,32,19,13,0.594,12.63,8.32,8,10,10,4,4,7,2499,2361,,71.7,108.5,0.376,0.322,0.553,52.3,47.5,10,11.2,0.522,15.6,32.9,0.259
97,Florida,33,19,14,0.576,14.94,9.91,9,9,12,4,4,8,2429,2263,,70,104.8,0.409,0.37,0.511,51.3,51.3,9,11,0.479,13.8,33,0.263
98,Fordham,30,17,13,0.567,2.45,0.31,8,10,14,4,3,7,2140,2059,,68.2,103.3,0.341,0.398,0.545,51.4,61.8,12.2,12.1,0.517,17.5,30.4,0.233
99,Fresno State,34,25,9,0.735,5.26,1.79,13,5,16,2,6,7,2561,2395,,70.1,105.9,0.383,0.299,0.523,50.8,50.9,11.6,11.9,0.485,13,31.4,0.265
100,Furman,33,18,15,0.545,-2.45,-4.13,11,7,13,1,3,12,2357,2196,,66.2,107.8,0.424,0.418,0.56,53.1,50.6,9.1,9.5,0.524,17.3,32.8,0.298
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Gardner-Webb,33,17,16,0.515,-6.56,-3.6,10,8,9,4,5,11,2476,2451,,70.9,104.6,0.344,0.396,0.522,50.8,50.7,11.2,9.5,0.495,15.7,33.2,0.225
102,George Mason,32,11,21,0.344,-1.67,3.74,5,13,7,8,2,11,2140,2313,,67.6,98.1,0.344,0.312,0.487,55.1,42.8,4.2,9.3,0.451,15.7,33.5,0.231
103,George Washington,33,23,10,0.697,10.17,3.65,11,7,14,3,7,5,2483,2268,,67.4,110.7,0.399,0.328,0.551,53.9,55.1,8.8,8.9,0.504,14.4,34.1,0.302
104,Georgetown,33,15,18,0.455,10.11,8.29,7,11,9,8,4,8,2430,2370,,69.1,105.4,0.379,0.414,0.554,50.8,60,7.8,11.5,0.512,16.7,28.3,0.285
105,Georgia Southern,31,14,17,0.452,-5.46,-2.94,10,10,10,4,4,12,2353,2307,,71.2,105.7,0.383,0.438,0.523,47.9,44,10.4,7,0.484,13.9,30.4,0.267
106,Georgia State,30,16,14,0.533,-2.68,-2.07,9,11,12,3,4,10,1971,1950,,65.1,99.3,0.374,0.273,0.524,46.9,49.9,10.1,9.9,0.488,15.8,24.7,0.258
107,Georgia Tech,33,19,14,0.576,12.13,9.95,8,10,13,5,4,7,2417,2345,,67.1,108.8,0.324,0.277,0.529,55.1,50.3,6.8,10.4,0.493,13.9,37.5,0.233
108,Georgia,32,19,13,0.594,10.03,8.93,10,8,14,4,3,8,2243,2208,,68.1,102.1,0.442,0.316,0.524,52.2,53.2,7.1,14.6,0.478,16.7,32.5,0.311
109,Gonzaga,33,26,7,0.788,16.26,3.51,15,3,11,4,9,2,2630,2186,,68.1,116.6,0.354,0.357,0.59,55.1,49.2,7.4,7.4,0.554,14.3,32.3,0.269
110,Grambling,31,7,24,0.226,-19.38,-8.24,4,14,5,7,2,15,1924,2110,,67.2,91.6,0.44,0.346,0.496,47.6,45.3,10,4.9,0.457,18.7,26.3,0.284
