Team,games,Win,T_Pace,T_EFG,T_ORB,T_TOV,T_FTFGA,Team_stats,O_EFG,O_ORB,O_TOV,O_FTFGA,School,SOS
Houston,27.0,W,67.6185185185,0.502666666667,35.8703703704,13.7740740741,0.229740740741,Cincinnati,0.453444444444,27.937037037,17.4296296296,0.178481481481,Cincinnati,5.27
Southern Methodist,28.0,L,67.3785714286,0.499428571429,35.8785714286,13.8321428571,0.231357142857,Cincinnati,0.453464285714,27.925,17.0607142857,0.185321428571,Cincinnati,5.27
Wisconsin,2.0,W,74.0,0.4485,28.05,15.8,0.262,Siena,0.566,34.85,11.5,0.433,Siena,-2.91
Bryant,2.0,L,74.0,0.4485,28.05,15.8,0.262,Siena,0.566,34.85,11.5,0.433,Siena,-2.91
Bucknell,3.0,L,72.1333333333,0.535666666667,22.6333333333,18.1666666667,0.221333333333,Siena,0.515666666667,32.8666666667,12.7333333333,0.345,Siena,-2.91
Loyola (MD),5.0,L,71.38,0.5386,30.22,18.04,0.2392,Siena,0.517,29.64,14.16,0.3274,Siena,-2.91
Cornell,6.0,W,72.5166666667,0.5405,29.2,18.0666666667,0.238166666667,Siena,0.5155,27.3,13.9666666667,0.324666666667,Siena,-2.91
Manhattan,7.0,L,72.9428571429,0.538571428571,32.3857142857,18.5142857143,0.284714285714,Siena,0.506142857143,26.7285714286,16.1428571429,0.304,Siena,-2.91
Saint Peter's,8.0,W,73.3125,0.524625,31.4625,18.3125,0.296875,Siena,0.498375,26.9,16.375,0.3215,Siena,-2.91
Hofstra,9.0,L,73.6222222222,0.529666666667,30.7444444444,18.5666666667,0.295111111111,Siena,0.485111111111,27.1222222222,15.5777777778,0.316111111111,Siena,-2.91
Albany (NY),9.0,L,73.6222222222,0.529666666667,30.7444444444,18.5666666667,0.295111111111,Siena,0.485111111111,27.1222222222,15.5777777778,0.316111111111,Siena,-2.91
St. Bonaventure,11.0,L,73.6545454545,0.533090909091,32.6909090909,18.8272727273,0.287,Siena,0.482727272727,27.9818181818,16.2636363636,0.295636363636,Siena,-2.91
Vermont,11.0,W,73.6545454545,0.533090909091,32.6909090909,18.8272727273,0.287,Siena,0.482727272727,27.9818181818,16.2636363636,0.295636363636,Siena,-2.91
Niagara,12.0,L,73.25,0.520833333333,33.7583333333,18.225,0.2795,Siena,0.484166666667,26.6083333333,16.0583333333,0.311833333333,Siena,-2.91
Manhattan,14.0,W,72.4214285714,0.512928571429,34.8142857143,18.2857142857,0.298428571429,Siena,0.484714285714,25.9928571429,16.5928571429,0.319071428571,Siena,-2.91
Fairfield,14.0,L,72.4214285714,0.512928571429,34.8142857143,18.2857142857,0.298428571429,Siena,0.484714285714,25.9928571429,16.5928571429,0.319071428571,Siena,-2.91
